State,Visited
Alabama,N
Alaska,N
Arizona,Y
Arkansas,N
California,Y
Colorado,Y
Connecticut,Y
Delaware,N
District of Columbia,Y
Florida,Y
Georgia,N
Hawaii,Y
Idaho,N
Illinois,Y
Indiana,N
Iowa,N
Kansas,N
Kentucky,N
Louisiana,Y
Maine,Y
Montana,N
Nebraska,N
Nevada,Y
New Hampshire,Y
New Jersey,Y
New Mexico,Y
New York,Y
North Carolina,N
North Dakota,N
Ohio,Y
Oklahoma,Y
Oregon,N
Maryland,Y
Massachusetts,Y
Michigan,N
Minnesota,N
Mississippi,N
Missouri,N
Pennsylvania,Y
Rhode Island,Y
South Carolina,N
South Dakota,N
Tennessee,N
Texas,Y
Utah,Y
Vermont,Y
Virginia,Y
Washington,Y
West Virginia,Y
Wisconsin,N
Wyoming,Y
